team1,team2,winner,venue,city,date,toss_winner
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-05,Royal Challengers Bengaluru
Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Pune,2017-04-06,Rising Pune Supergiants
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,2017-04-07,Kolkata Knight Riders
Punjab Kings,Rising Pune Supergiants,Punjab Kings,Holkar Cricket Stadium,Indore,2017-04-08,Punjab Kings
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,M.Chinnaswamy Stadium,Bengaluru,2017-04-08,Royal Challengers Bengaluru
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-09,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-09,Mumbai Indians
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Holkar Cricket Stadium,Indore,2017-04-10,Royal Challengers Bengaluru
Rising Pune Supergiants,Delhi Capitals,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,2017-04-11,Rising Pune Supergiants
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-12,Mumbai Indians
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-13,Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-04-14,Mumbai Indians
Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2017-04-14,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-15,Sunrisers Hyderabad
Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2017-04-15,Delhi Capitals
Mumbai Indians,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-16,Mumbai Indians
Royal Challengers Bengaluru,Rising Pune Supergiants,Rising Pune Supergiants,M Chinnaswamy Stadium,Bangalore,2017-04-16,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2017-04-17,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-17,Punjab Kings
Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,Rajkot,2017-04-18,Gujarat Lions
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-19,Sunrisers Hyderabad
