team1,team2,winner,venue,city,date,toss_winner
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2022-03-26,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-03-27,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-03-27,Punjab Kings
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022-03-28,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-03-29,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-03-30,Royal Challengers Bengaluru
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,2022-03-31,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2022-04-01,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-02,Mumbai Indians
Gujarat Titans,Delhi Capitals,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-02,Delhi Capitals
Punjab Kings,Chennai Super Kings,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,2022-04-03,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-04,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-04-05,Royal Challengers Bengaluru
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-06,Kolkata Knight Riders
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-07,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,2022-04-08,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-09,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-09,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-10,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-10,Lucknow Super Giants
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-11,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-12,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-13,Mumbai Indians
Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-14,Rajasthan Royals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,2022-04-15,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,2022-04-16,Mumbai Indians
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-04-16,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-17,Sunrisers Hyderabad
Chennai Super Kings,Gujarat Titans,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-17,Gujarat Titans
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-18,Kolkata Knight Riders
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-19,Lucknow Super Giants
Punjab Kings,Delhi Capitals,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-20,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-04-21,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-22,Delhi Capitals
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-04-23,Gujarat Titans
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,2022-04-23,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,2022-04-24,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,2022-04-25,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-26,Royal Challengers Bengaluru
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022-04-27,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-28,Delhi Capitals
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-29,Punjab Kings
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,2022-04-30,Royal Challengers Bengaluru
