team1,team2,winner,venue,city,date,toss_winner
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-05,Royal Challengers Bangalore
Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-06,Rising Pune Supergiant
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Rajkot,2017-04-07,Kolkata Knight Riders
Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium,Indore,2017-04-08,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2017-04-08,Royal Challengers Bangalore
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-09,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-09,Mumbai Indians
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium,Indore,2017-04-10,Royal Challengers Bangalore
Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Maharashtra Cricket Association Stadium,Pune,2017-04-11,Rising Pune Supergiant
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-12,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-13,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-04-14,Mumbai Indians
Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2017-04-14,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-15,Sunrisers Hyderabad
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-04-15,Delhi Daredevils
Mumbai Indians,Gujarat Lions,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-16,Mumbai Indians
Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,2017-04-16,Royal Challengers Bangalore
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2017-04-17,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-17,Kings XI Punjab
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Rajkot,2017-04-18,Gujarat Lions
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-19,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Holkar Cricket Stadium,Indore,2017-04-20,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,Kolkata,2017-04-21,Gujarat Lions
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,2017-04-22,Delhi Daredevils
Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-22,Rising Pune Supergiant
Gujarat Lions,Kings XI Punjab,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,2017-04-23,Gujarat Lions
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-23,Royal Challengers Bangalore
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-04-24,Mumbai Indians
Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2017-04-26,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,M Chinnaswamy Stadium,Bangalore,2017-04-27,Gujarat Lions
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-04-28,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-28,Kings XI Punjab
Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-04-29,Royal Challengers Bangalore
Gujarat Lions,Mumbai Indians,No Result,Saurashtra Cricket Association Stadium,Rajkot,2017-04-29,Gujarat Lions
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-04-30,Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-04-30,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2017-05-01,Royal Challengers Bangalore
Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-05-01,Rising Pune Supergiant
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-02,Delhi Daredevils
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Eden Gardens,Kolkata,2017-05-03,Rising Pune Supergiant
Delhi Daredevils,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-04,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,2017-05-05,Royal Challengers Bangalore
Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-06,Sunrisers Hyderabad
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi,2017-05-06,Delhi Daredevils
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-07,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-07,Gujarat Lions
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-08,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2017-05-09,Kolkata Knight Riders
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Green Park,Kanpur,2017-05-10,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Mumbai,2017-05-11,Mumbai Indians
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Feroz Shah Kotla,Delhi,2017-05-12,Delhi Daredevils
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Green Park,Kanpur,2017-05-13,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2017-05-13,Kolkata Knight Riders
Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,2017-05-14,Rising Pune Supergiant
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2017-05-14,Royal Challengers Bangalore
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Wankhede Stadium,Mumbai,2017-05-16,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2017-05-17,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2017-05-19,Mumbai Indians
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-05-21,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2018-04-07,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,Chandigarh,2018-04-08,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2018-04-08,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-04-09,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,Chennai,2018-04-10,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2018-04-11,Delhi Daredevils
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,2018-04-12,Sunrisers Hyderabad
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,2018-04-13,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,Mumbai,2018-04-14,Delhi Daredevils
